,edit_count,sentiment,neg_sentiment
2014-02-25,0.06666666666666667,-0.0665262262026469,0.06666666666666667
2014-02-26,0.03333333333333333,-0.03324254155158997,0.03333333333333333
2014-02-27,0.03333333333333333,-0.03324254155158997,0.03333333333333333
2014-02-28,0.03333333333333333,-0.03324254155158997,0.03333333333333333
2014-03-01,0.03333333333333333,-0.03324254155158997,0.03333333333333333
2014-03-02,0.03333333333333333,-0.03324254155158997,0.03333333333333333
2014-03-03,0.0,0.0,0.0
2014-03-04,0.0,0.0,0.0
2014-03-05,0.0,0.0,0.0
2014-03-06,0.0,0.0,0.0
2014-03-07,0.0,0.0,0.0
2014-03-08,0.0,0.0,0.0
2014-03-09,0.0,0.0,0.0
2014-03-10,0.0,0.0,0.0
2014-03-11,0.0,0.0,0.0
2014-03-12,0.0,0.0,0.0
2014-03-13,0.0,0.0,0.0
2014-03-14,0.0,0.0,0.0
2014-03-15,0.0,0.0,0.0
2014-03-16,0.0,0.0,0.0
2014-03-17,0.0,0.0,0.0
2014-03-18,0.0,0.0,0.0
2014-03-19,0.0,0.0,0.0
2014-03-20,0.0,0.0,0.0
2014-03-21,0.0,0.0,0.0
2014-03-22,0.0,0.0,0.0
2014-03-23,0.0,0.0,0.0
2014-03-24,0.0,0.0,0.0
2014-03-25,0.0,0.0,0.0
2014-03-26,0.0,0.0,0.0
2014-03-27,0.0,0.0,0.0
2014-03-28,0.0,0.0,0.0
2014-03-29,0.0,0.0,0.0
2014-03-30,0.0,0.0,0.0
2014-03-31,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0
2014-04-02,0.0,0.0,0.0
2014-04-03,0.0,0.0,0.0
2014-04-04,0.0,0.0,0.0
2014-04-05,0.0,0.0,0.0
2014-04-06,0.16666666666666666,0.026365979512532552,0.0
2014-04-07,0.16666666666666666,0.026365979512532552,0.0
2014-04-08,0.16666666666666666,0.026365979512532552,0.0
2014-04-09,0.9666666666666667,0.047912877384159294,0.0027777777777777775
2014-04-10,1.2666666666666666,0.03586228691317417,0.025
2014-04-11,1.6,0.05302937868016737,0.03166666666666666
2014-04-12,1.6666666666666667,0.051565696227329746,0.04833333333333333
2014-04-13,1.7,0.07650305770613527,0.04833333333333333
2014-04-14,1.7,0.07650305770613527,0.04833333333333333
2014-04-15,1.7,0.07650305770613527,0.04833333333333333
2014-04-16,1.7,0.07650305770613527,0.04833333333333333
2014-04-17,2.0,0.08678713251595144,0.05944444444444444
2014-04-18,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-19,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-20,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-21,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-22,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-23,2.033333333333333,0.11715245256269419,0.05944444444444444
2014-04-24,2.1,0.15040539909844047,0.05944444444444444
2014-04-25,2.1,0.15040539909844047,0.05944444444444444
2014-04-26,2.1,0.15040539909844047,0.05944444444444444
2014-04-27,2.1,0.15040539909844047,0.05944444444444444
2014-04-28,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-04-29,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-04-30,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-01,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-02,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-03,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-04,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-05,2.1333333333333333,0.11919681439245187,0.09277777777777778
2014-05-06,1.9666666666666666,0.09283083487991933,0.09277777777777778
2014-05-07,1.9666666666666666,0.09283083487991933,0.09277777777777778
2014-05-08,1.9666666666666666,0.09283083487991933,0.09277777777777778
2014-05-09,1.1666666666666667,0.07128393700829258,0.09
2014-05-10,0.8666666666666667,0.0833345274792777,0.06777777777777777
2014-05-11,0.5333333333333333,0.0661674357122845,0.06111111111111111
2014-05-12,0.4666666666666667,0.06763111816512213,0.04444444444444444
2014-05-13,0.43333333333333335,0.04269375668631659,0.04444444444444444
2014-05-14,0.43333333333333335,0.04269375668631659,0.04444444444444444
2014-05-15,0.43333333333333335,0.04269375668631659,0.04444444444444444
2014-05-16,0.43333333333333335,0.04269375668631659,0.04444444444444444
2014-05-17,0.13333333333333333,0.032409681876500444,0.03333333333333333
2014-05-18,0.1,0.0020443618297576903,0.03333333333333333
2014-05-19,0.1,0.0020443618297576903,0.03333333333333333
2014-05-20,0.1,0.0020443618297576903,0.03333333333333333
2014-05-21,0.1,0.0020443618297576903,0.03333333333333333
2014-05-22,0.1,0.0020443618297576903,0.03333333333333333
2014-05-23,0.1,0.0020443618297576903,0.03333333333333333
2014-05-24,0.03333333333333333,-0.031208584705988567,0.03333333333333333
2014-05-25,0.03333333333333333,-0.031208584705988567,0.03333333333333333
2014-05-26,0.03333333333333333,-0.031208584705988567,0.03333333333333333
2014-05-27,0.03333333333333333,-0.031208584705988567,0.03333333333333333
2014-05-28,0.0,0.0,0.0
2014-05-29,0.0,0.0,0.0
2014-05-30,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0
2014-06-01,0.03333333333333333,0.03252765734990438,0.0
2014-06-02,0.03333333333333333,0.03252765734990438,0.0
2014-06-03,0.03333333333333333,0.03252765734990438,0.0
2014-06-04,0.03333333333333333,0.03252765734990438,0.0
2014-06-05,0.03333333333333333,0.03252765734990438,0.0
2014-06-06,0.03333333333333333,0.03252765734990438,0.0
2014-06-07,0.03333333333333333,0.03252765734990438,0.0
2014-06-08,0.03333333333333333,0.03252765734990438,0.0
2014-06-09,0.03333333333333333,0.03252765734990438,0.0
2014-06-10,0.06666666666666667,0.06584482987721761,0.0
2014-06-11,0.06666666666666667,0.06584482987721761,0.0
2014-06-12,0.06666666666666667,0.06584482987721761,0.0
2014-06-13,0.06666666666666667,0.06584482987721761,0.0
2014-06-14,0.06666666666666667,0.06584482987721761,0.0
2014-06-15,0.06666666666666667,0.06584482987721761,0.0
2014-06-16,0.06666666666666667,0.06584482987721761,0.0
2014-06-17,0.06666666666666667,0.06584482987721761,0.0
2014-06-18,0.06666666666666667,0.06584482987721761,0.0
2014-06-19,0.06666666666666667,0.06584482987721761,0.0
2014-06-20,0.06666666666666667,0.06584482987721761,0.0
2014-06-21,0.06666666666666667,0.06584482987721761,0.0
2014-06-22,0.06666666666666667,0.06584482987721761,0.0
2014-06-23,0.06666666666666667,0.06584482987721761,0.0
2014-06-24,0.06666666666666667,0.06584482987721761,0.0
2014-06-25,0.06666666666666667,0.06584482987721761,0.0
2014-06-26,0.06666666666666667,0.06584482987721761,0.0
2014-06-27,0.06666666666666667,0.06584482987721761,0.0
2014-06-28,0.06666666666666667,0.06584482987721761,0.0
2014-06-29,0.1,0.09078219135602315,0.0
2014-06-30,0.1,0.09078219135602315,0.0
2014-07-01,0.1,0.08734038869539897,0.0
2014-07-02,0.1,0.08734038869539897,0.0
2014-07-03,0.1,0.08734038869539897,0.0
2014-07-04,0.1,0.08734038869539897,0.0
2014-07-05,0.1,0.08734038869539897,0.0
2014-07-06,0.1,0.08734038869539897,0.0
